datetime,event,actual,forecast,previous
2019-01-03 16:15:00,ADP Nonfarm Employment Change  (Dec),271K,179K,157K
2019-01-03 16:30:00,Initial Jobless Claims,231K,220K,221K
2019-01-03 18:00:00,ISM Manufacturing PMI  (Dec),54.1,57.7,59.3
2019-01-04 16:30:00,Nonfarm Payrolls  (Dec),312K,178K,176K
2019-01-04 16:30:00,Unemployment Rate  (Dec),3.9%,3.7%,3.7%
2019-01-07 18:00:00,ISM Non-Manufacturing PMI  (Dec),57.6,59.6,60.7
2019-01-08 18:00:00,JOLTS Job Openings  (Nov),6.888M,7.063M,7.131M
2019-01-10 16:30:00,Initial Jobless Claims,216K,225K,233K
2019-01-11 16:30:00,Core CPI (MoM)  (Dec),0.2%,0.2%,0.2%
2019-01-11 16:30:00,CPI (MoM)  (Dec),-0.1%,-0.1%,0.0%
2019-01-11 16:30:00,CPI (YoY)  (Dec),1.9%,1.9%,2.2%
2019-01-15 16:30:00,PPI (MoM)  (Dec),-0.2%,-0.1%,0.1%
2019-01-17 16:30:00,Initial Jobless Claims,213K,219K,216K
2019-01-24 16:30:00,Initial Jobless Claims,199K,219K,212K
2019-01-30 16:15:00,ADP Nonfarm Employment Change  (Jan),213K,180K,263K
2019-01-31 16:30:00,Initial Jobless Claims,253K,215K,200K
2019-02-01 16:30:00,Nonfarm Payrolls  (Jan),304K,165K,222K
2019-02-01 16:30:00,Unemployment Rate  (Jan),4.0%,3.9%,3.9%
2019-02-01 18:00:00,ISM Manufacturing PMI  (Jan),56.6,54.2,54.3
2019-02-05 18:00:00,ISM Non-Manufacturing PMI  (Jan),56.7,57.2,58.0
2019-02-07 16:30:00,Initial Jobless Claims,234K,221K,253K
2019-02-12 18:00:00,JOLTS Job Openings  (Dec),7.335M,6.900M,7.166M
2019-02-13 16:30:00,Core CPI (MoM)  (Jan),0.2%,0.2%,0.2%
2019-02-13 16:30:00,CPI (MoM)  (Jan),0.0%,0.1%,-0.1%
2019-02-13 16:30:00,CPI (YoY)  (Jan),1.6%,1.5%,1.9%
2019-02-14 16:30:00,Core Retail Sales (MoM)  (Dec),-1.8%,0.0%,0.2%
2019-02-14 16:30:00,Initial Jobless Claims,239K,225K,235K
2019-02-14 16:30:00,PPI (MoM)  (Jan),-0.1%,0.1%,-0.1%
2019-02-14 16:30:00,Retail Sales (MoM)  (Dec),-1.2%,0.1%,0.1%
2019-02-21 16:30:00,Initial Jobless Claims,216K,220K,239K
2019-02-28 16:30:00,GDP (QoQ)  (Q4),2.6%,2.6%,3.4%
2019-02-28 16:30:00,Initial Jobless Claims,225K,221K,217K
2019-03-01 16:30:00,Core PCE Price Index (YoY)  (Dec),1.9%,1.9%,1.9%
2019-03-01 16:30:00,Core PCE Price Index (MoM)  (Dec),0.2%,0.2%,0.2%
2019-03-01 18:00:00,ISM Manufacturing PMI  (Feb),54.2,55.5,56.6
2019-03-05 18:00:00,ISM Non-Manufacturing PMI  (Feb),59.7,57.3,56.7
2019-03-06 16:15:00,ADP Nonfarm Employment Change  (Feb),183K,189K,300K
2019-03-07 16:30:00,Initial Jobless Claims,223K,225K,226K
2019-03-08 16:30:00,Nonfarm Payrolls  (Feb),20K,181K,311K
