datetime,event,delta_prev_fc,pre_pips,pre_max_pips,pre_min_pips,pre_mean_pips
2019-01-03 14:15:00,ADP Nonfarm Employment Change  (Dec),179K vs 157K,13.499999999999623,49.69999999999919,-25.000000000001688,0.0003508771929613817
2019-01-03 14:30:00,Initial Jobless Claims,220K vs 221K,16.099999999998893,49.69999999999919,-25.000000000001688,0.004022988505732642
2019-01-03 16:00:00,ISM Manufacturing PMI  (Dec),57.7 vs 59.3,30.199999999998006,49.69999999999919,-25.000000000001688,0.01749999999999206
2019-01-04 14:30:00,Nonfarm Payrolls  (Dec),178K vs 176K,10.799999999999699,25.699999999999612,-10.000000000001119,0.005747126436791185
2019-01-04 14:30:00,Unemployment Rate  (Dec),3.7% vs 3.7%,10.799999999999699,25.699999999999612,-10.000000000001119,0.005747126436791185
2019-01-07 16:00:00,ISM Non-Manufacturing PMI  (Dec),59.6 vs 60.7,60.19999999999914,65.3999999999999,-2.6999999999999247,0.05260416666664815
2019-01-08 16:00:00,JOLTS Job Openings  (Nov),7.063M vs 7.131M,-38.19999999999935,7.599999999998719,-54.60000000000021,-0.044374999999996965
2019-01-10 14:30:00,Initial Jobless Claims,225K vs 233K,-13.100000000001444,18.599999999999728,-33.50000000000186,-0.023793103448255637
2019-01-11 14:30:00,Core CPI (MoM)  (Dec),0.2% vs 0.2%,27.500000000000302,41.09999999999836,-3.1000000000003247,0.028620689655196572
2019-01-11 14:30:00,CPI (YoY)  (Dec),1.9% vs 2.2%,27.500000000000302,41.09999999999836,-3.1000000000003247,0.028620689655196572
2019-01-11 14:30:00,CPI (MoM)  (Dec),-0.1% vs 0.0%,27.500000000000302,41.09999999999836,-3.1000000000003247,0.028620689655196572
2019-01-15 14:30:00,PPI (MoM)  (Dec),-0.1% vs 0.1%,-47.80000000000007,20.999999999999908,-56.400000000000894,-0.05942528735632066
2019-01-17 14:30:00,Initial Jobless Claims,219K vs 216K,2.9999999999996696,10.200000000000209,-24.399999999999977,-0.0012658227847800916
2019-01-24 14:30:00,Initial Jobless Claims,219K vs 212K,-45.2000000000008,9.699999999999154,-51.600000000000534,-0.05528735632181844
2019-01-30 14:15:00,ADP Nonfarm Employment Change  (Jan),180K vs 263K,-7.399999999999629,14.899999999999913,-13.099999999999223,-0.014736842105302567
2019-01-31 14:30:00,Initial Jobless Claims,215K vs 200K,4.20000000000087,32.300000000000665,-10.300000000000864,-0.006091954022956952
2019-02-01 14:30:00,Nonfarm Payrolls  (Jan),165K vs 222K,26.699999999999502,28.200000000000447,-12.199999999999989,0.022873563218374755
2019-02-01 14:30:00,Unemployment Rate  (Jan),3.9% vs 3.9%,26.699999999999502,28.200000000000447,-12.199999999999989,0.022873563218374755
2019-02-01 16:00:00,ISM Manufacturing PMI  (Jan),54.2 vs 54.3,29.700000000001392,39.20000000000145,-12.199999999999989,0.024062499999981852
2019-02-05 16:00:00,ISM Non-Manufacturing PMI  (Jan),57.2 vs 58.0,-22.499999999998632,3.6999999999998145,-25.299999999999212,-0.03052083333338525
2019-02-07 14:30:00,Initial Jobless Claims,221K vs 253K,-27.599999999998737,1.80000000000069,-42.10000000000047,-0.03850574712638277
2019-02-12 16:00:00,JOLTS Job Openings  (Dec),6.900M vs 7.166M,19.100000000000783,27.600000000000957,-18.299999999999983,0.015208333333310379
2019-02-13 14:30:00,Core CPI (MoM)  (Jan),0.2% vs 0.2%,-23.899999999998922,11.499999999999844,-26.599999999998847,-0.030689655172369833
2019-02-13 14:30:00,CPI (MoM)  (Jan),0.1% vs -0.1%,-23.899999999998922,11.499999999999844,-26.599999999998847,-0.030689655172369833
